Object,M_1e8Msun,D_A_Mpc,theta_microas,RA_hms,Dec_dms,freq_GHz,flux_Jy,ref
"NGC 1269
NGC 1291",2.6,9.7,0.26,03 17 18.3,- 41 06 26,"5
600
850","0.043
3.5-6.4
8-13","[15]
mass est. by
X-ray lum."
NGC 1271,34,84,0.40,03 19 11.3,+ 41 21 12,138000,0.046,[3]
NGC 1300,"0.71
0.76","20.1
21.5","0.03
0.03",03 19 41.1,-19 24 41,"5
3000","0.01
10","[19];
[5]
[38];
[3]"
"NGC 1275
Perseus A","3.4
9.5","75
70","0.04
0.13",03 19 48.1,+ 41 30 42,"43
100
226-230
270
350","6.9-7.9
7.7
27-4.8
19
1-2","[44]
[3]"
NGC 1277,47,71,0.65,03 19 51.49,+ 41 34 24.7,3000,<0.7,[3]
"NGC 1316
Fornax A",1.5,18.6,0.08,03 22 41.8,- 37 12 29.52,"23
41
94
600
850","11.7-18.6
2.3-10.7
0.7-1.4
0.82
2.1","[5];
[38];
[3]"
"NGC 1320
Mrk 0607",0.05,49,0.001,03 24 48.7,- 03 02 32,"8.4
1500","0.001
1.06",[3]
NGC 1332,"14.5
6.8","22.3
22.3","0.64
0.30",03 26 17.321,- 21 20 07.33,"5
1700","0.005
1.56","[5];
[38]
[3]"
NGC 1358,2.3,48,0.05,03 33 39.7,- 05 05 22,"1.4
3000","0.021
0.925",[3]
NGC 1374,5.8,19.2,0.30,03 35 16.6,- 35 13 35,"5
1700","0.0008
<0.028","[38];
[3]"
NGC 1386,0.01,16,0.0006,03 36 46.2,- 35 59 58,"8.4
3000","0.01
9.6",[3]
NGC 1399,"5.1
13
8.8
8.7","21.1
21.1
20.9
20.9","0.24
0.61
0.42
0.41",03 38 29.08,- 35 27 02.67,"8.5
1875","0.36
0.02","[19];
[5]
[38]
[3]"
NGC 1398,1.1,24.8,0.04,03 38 52.1,- 26 20 16,3000,9,"[38];
[3]"
NGC 1407,45,28,1.6,03 40 11.8,-18 34 48,"5
1900","0.034
0.092","[38];
[3]"
NGC 1428,<0.1,21,<0.005,03 42 22.7,- 35 09 14,3000,0.21,[3]
IC 0342,0.03,3.7,0.008,03 46 48.5,+ 68 05 47,"28
38
230
300
600
850","0.033
0.026
0.25
<8
102
261",[3]
NGC 1493,<0.003,11,0.0003,03 57 27.4,- 46 12 39,"5
3000","0.002
8.2",[3]
NGC 1497,4.2,75,0.06,04 02 06.8,+ 23 07 59,5,0.04,[3]
NGC 1550,37,51.6,0.72,04 19 37.9,+ 02 24 34,"2.3
3000","0.008
<0.245","[38];
[3]"
NGC 1600,170,64,2.6,04 31 39.9,- 05 05 10.0,"5
3000","0.016
0.190",[3]
"3C 120
Mrk 1506","0.2
0.5
0.54","136
136
141","0.001
0.004
0.004",04 33 11.1,+ 05 21 16,"22
41
94
230","2.2-5.7
1.9-2.5
2.1-3
1.6","[31];
[33]
[?]
[3]"
"J0437
+2456
WISEP
J043703.69
+245606.9",0.03,66,0.0005,04 37 03.7,+ 24 56 07,12500,0.023-0.026,[3]
NGC 1667,1.6,56,0.03,04 48 37.1,- 06 19 12,"8.5
350
670","8-18
0.16
1.2",[3]
H0507+164,0.05,77,0.0004,05 10 45.5,+ 16 29 56,"1.4
3000","0.006
<3.4",[3]
"Mrk 1095
Ark 120","1.5
1.1","135
140","0.01
0.008",05 16 11.4,- 00 08 59,"15
40
90
230","0.002
<0.34
<0.09
<0.156","[33]
[3]
orb. period
20 years"
"SAGE1C
J053634.78
-722658.5",3.5,509 (z),0.007,05 36 34.78,- 72 26 58.5,"4.75
1875","0.04
<0.004",[25]
"QSO 0537
-286
HB89
0537-286",20,1572 (z),0.01,05 39 54.3,- 28 39 56,"20-23
31
41
94","0.7-1.6
0.23
0.7
0.4",[16]
NGC 1961,1.9,49,0.04,05 42 04.6,+ 69 22 42,"100
3000","0.003
22-23",[3]
NGC 2110,1.3,29,0.04,05 52 11.4,- 07 27 22,"8.4
3000","0.01
5.7",[3]
"MCG+08-11-011
UGC 03374",0.28,84,0.003,05 54 53.6,+46 26 22,"5
3000","0.083
4.2","[11];
[12]"
NGC 2139,<0.002,24,<8·10−5,06 01 07.8,- 23 40 22,"5
3000","0.043
14",[3]
NGC 2179,2.0,36,0.05,06 08 02.2,- 21 44 48,1.4,0.015,[3]
NGC 2273,"0.078
0.086
0.085","26.8
29.5
29.5","0.003
0.003
0.003",06 50 08.6,+ 60 50 45,"23
3000","<0.004
10","[5]
[38]
[3]"
"Mrk 0006
IC 0450",1.2,81,0.01,06 52 12.2,74 25 37,"11
1900","0.059
5.4",[3]
Mrk 374,0.2,173,0.001,06 59 38.1,+ 54 11 48,"4.8
3000","<0.005
<0.68",[11]
"ESO 558
-009",0.17,102.5,0.002,07 04 21.0,- 21 35 19,1.4,0.013,[3]
NGC 2329,1.5,72,0.02,07 09 08.0,+ 48 36 56,"5
3000","0.07
<0.189",[3]
UGC0 3789,"0.108
0.097
0.098","48.4
49.9
49.9","0.002
0.002
0.002",07 19 30.9,+ 59 21 18,"22
3000","0.134
3.4","[5]
[38]
[3]"
"ZwCl
0735.7+7421
MS
0735.6+7421",50,723 (z),0.07,07 41 44.8,+74 14 52,100000,0.0004,"[29]
&"
"Mrk 079
UGC
03973","0.5
0.4","135
95","0.004
0.004",07 42 32.8,+ 49 48 35,"5
1500","0.01
0.85","[33]
[3]"
"SDSS
J074352.02
+271239.5",0.9,807,0.001,07 43 52.02,+ 27 12 39.5,3000,<0.47,[10]
"SDSS
J074521.78
+734336.1",195,1554 (z),0.13,07 45 21.78,+ 73 43 36.1,,"in NED
absent",[47]
"QSO
B0746+254",50,1591 (z),0.13,07 46 25.9,+ 25 49 02,"22.5
43","0.43
0.32",[16]
"SDSS
J075051.72
+245409.3",0.5,1109 (z),0.0004,07 50 51.72,+ 24 54 09.3,14000,0.034,[10]
"SDSS
J075101.42
+291419.1",0.2,449,0.0004,07 51 01.42,+ 29 14 19.1,"1.4
14000","0.002
0.05",[10]
"SDSS
J075303.34
+423130.8",123,1496 (z),0.08,07 53 03.34,+ 42 31 30.8,30,0.058,[47]
"SDSS
J075819.70
+202300.9",55,1470 (z),0.04,07 58 19.70,+ 20 23 00.9,14000,0.003,[47]
"SDSS
J075949.54
+320023.8",0.2,648,0.0003,07 59 49.54,+ 32 00 23.8,14000,0.011,[10]
"SDSS
J080430.56
+542041.1",135,1470 (z),0.09,08 04 30.56,+ 54 20 41.1,14000,0.004,[47]
"WISE
J080518.15
+614424.0",15,1583 (z),0.009,08 05 18.2,+ 61 44 24,"23
41
94","0.7-0.9
0.6-0.7
0.3",[16]
"SDSS
J080819.69
+373047.3",151,1513 (z),0.10,08 08 19.69,+ 37 30 47.3,14000,0.002,[47]
"SDSS
J080956.02
+502000.9",33,1544 (z),0.02,08 09 56.02,+ 50 20 00.9,14000,0.003,[47]
"PG
0804+761","7
5.2","380
428","0.02
0.01",08 10 58.6,+76 02 43,250,<0.005,"[33]
[3]"
"SDSS
J081441.91
+212918.5",0.2,576,0.0003,08 14 41.91,+ 21 29 18.5,25000,0.003,[10]
"SDSS
J081855.77
+095848.0",120,1479 (z),0.08,08 18 55.77,+ 09 58 48.0,14000,0.007,[47]
NGC 2549,"0.14
0.14","12.3
12.7","0.01
0.01",08 18 58.3,+ 57 48 11,"1.4
3000","<0.0001
0.37","[5]
[3]"
"SDSS
J082535.19
+512706.3",112,1508 (z),0.07,08 25 35.19,+ 51 27 06.3,14000,0.004,[47]
Mrk 1216,20,94,0.21,08 28 47.1,- 06 56 25,5,0.009,[3]
"APM
08279+5255
IRAS F
08279+5255","230
100","1447 (z)
1447(z)","0.16
0.07",08 31 41.7,+ 52 45 18,"100
250
300
660
857","0.001
0.034
0.06
0.34
0.386","[35]
[39]"
NGC 2617,"0.4
0.32","59
59","0.007
0.005",08 35 38.8,- 04 05 18,"1.4
3000","0.03
2","[41]
[11];
[12]"
"SDSS
J083553.46
+055317.1",0.07,694,0.0001,08 35 53.46,+ 05 53 17.1,14000,0.03,[10]
Henize 2-10,<0.1,9.0,<0.01,08 36 15.199,- 26 24 33.62,HST,,[3]
"SDSS
J084533.28
+474934.5",0.07,924,0.00008,08 45 33.28,+ 47 49 34.5,14000,0.006,[10]
"PG
0844+349","0.9
0.2",254 (z),0.003,08 47 42.4,+ 34 45 04,1900,0.1,[33]
OJ 287,"180
1","930
930","0.19
0.001",08 54 48.88,+ 20 06 39.6,"22-23
43
100
240
340
800","2.4-6.1
1.6-2.9
4.5
1.4-3
4.5
1.3-1.7","[42]
secondary BH"
NGC 2685,<0.04,12.5,0.003,08 55 34.7,+ 58 44 04,"15
3000","<0.001
1.7-1.9",[3]
"SDSS
J090033.50
+421546.0",47,1543 (z),0.03,09 00 33.50,+ 42 15 47.0,,"in NED
absent",[47]
"Q0906+6930
LQAC
136+069001",20,1238 (z),0.02,09 06 30.7,+ 69 30 31,"15
43","0.006-0.1
0.004-0.04",[37]
NGC 2778,"0.16
<0.14","24.2
23.4","0.007
<0.006",09 12 24.4,+ 35 01 39,"2.4
1900","0.002
<0.028","[19]
[3]"
NGC 2748,"0.47
0.44
0.45","24.9
23.4
23.4
19.64","0.02
0.02
0.02",09 13 43.0,+ 76 28 31,"1.4
3000","0.055
17-19","[19];
[5]
[38]
[3]
NED"
NGC 2787,"0.43
0.4
0.41","7.9
7.5
7.4","0.05
0.05
0.05",09 19 18.6,+ 69 12 12,"15
96
1900","0.01
0.015
0.7","[19];
[5]
[38]
[3]"
Mrk 0110,"0.25
0.19","144
151","0.002
0.001",09 25 12.9,+ 52 17 11,"1.4
3000","0.01
0","[33]
[3]"
NGC 2903,0.11,10,0.01,09 32 10.1,+ 21 30 03,"28
38
230
350
670
850","0.014
0.010
1.5
1.8
8
6.5",[3]
